2024-12-01 17:31:51.334 | INFO     | scripts.train_CUB:train_val:48 - config: {'seed': 60, 'm': 16, 'alpha': 1, 'beta': 1.0, 'beta2': 0.01, 'mome': 0.9, 'epoch_change': 9, 'sigma': 1.0, 'gamma': 20.0, 'lambda': 0.0001, 'mu': 1, 'nu': 1, 'eta': 55, 'dcc_iter': 10, 'optimizer': {'type': <class 'torch.optim.rmsprop.RMSprop'>, 'optim_param': {'lr': 1e-05, 'weight_decay': 1e-05}}, 'resize_size': 256, 'crop_size': 224, 'batch_size': 64, 'net': <class 'model.Net.MoCo'>, 'dataset': 'cifar10', 'without_BN': False, 'epoch': 1000, 'test_map': 3, 'stop_iter': 20, 'device': device(type='cuda'), 'n_gpu': 1, 'bit_list': [16, 32, 64], 'max_norm': 5.0, 'T': 0.001, 'resnet_url': '../../Pretrain/resnet50-19c8e357.pth', 'url': '../../Pretrain/moco_v2_800ep_pretrain.pth', 'txt_path': '../../data/glove/glove.6B.50d.txt', 'label_size': 100, 'update_center': False, 'topk': -1, 'n_class': 10, 'data': {'train_set': {'list_path': './data/cifar10/train.txt', 'batch_size': 64}, 'test_set': {'list_path': './data/cifar10/test.txt', 'batch_size': 64}, 'database': {'list_path': './data/cifar10/train.txt', 'batch_size': 64}}, 'order_seed': 80, 'center_path': './centerswithoutVar/CSQ_init_True_10_64.npy', 'CSQ_center': './CSQcenters/CSQ_10_64.npy', 'remarks': 'Ours', 'save_path': './results/cifar10/Ours', 'save_center': './results/cifar10/Ours/ours_64.npy', 'info': '[Ours]', 'loss_way': 'Ours', 'num_train': 5000}
2024-12-01 17:31:51.334 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 1/1000 17:31:51 bits: 64 dataset: cifar10 loss way: Ours training...
2024-12-01 17:32:16.698 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.10683641761918611, center loss: 8.437950395047665, pair loss: 0
2024-12-01 17:32:16.699 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 2/1000 17:32:16 bits: 64 dataset: cifar10 loss way: Ours training...
2024-12-01 17:32:42.286 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.02540507648564592, center loss: 2.005026038736105, pair loss: 0
2024-12-01 17:32:42.286 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 3/1000 17:32:42 bits: 64 dataset: cifar10 loss way: Ours training...
2024-12-01 17:33:07.670 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.0106048971308466, center loss: 0.8358748555183411, pair loss: 0
2024-12-01 17:34:53.621 | INFO     | scripts.train_CUB:train_val:97 - save in ./results/cifar10/Ours
2024-12-01 17:34:53.621 | INFO     | scripts.train_CUB:train_val:107 - [Ours] 3/1000 17:32:42 bits: 64 dataset: cifar10 Best mAP: 0.7683466689890055, current mAP: 0.7683466689890055
2024-12-01 17:34:53.621 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 4/1000 17:34:53 bits: 64 dataset: cifar10 loss way: Ours training...
2024-12-01 17:35:18.771 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.005438759819828445, center loss: 0.42782321898266673, pair loss: 0
2024-12-01 17:35:18.771 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 5/1000 17:35:18 bits: 64 dataset: cifar10 loss way: Ours training...
2024-12-01 17:35:43.983 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.004516662094046515, center loss: 0.35503475926816463, pair loss: 0
2024-12-01 17:35:43.983 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 6/1000 17:35:43 bits: 64 dataset: cifar10 loss way: Ours training...
2024-12-01 17:36:09.174 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.005176383229797777, center loss: 0.4071806827560067, pair loss: 0
2024-12-01 17:37:55.531 | INFO     | scripts.train_CUB:train_val:97 - save in ./results/cifar10/Ours
2024-12-01 17:37:55.531 | INFO     | scripts.train_CUB:train_val:107 - [Ours] 6/1000 17:35:43 bits: 64 dataset: cifar10 Best mAP: 0.7907847909954602, current mAP: 0.7907847909954602
2024-12-01 17:37:55.531 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 7/1000 17:37:55 bits: 64 dataset: cifar10 loss way: Ours training...
2024-12-01 17:38:20.759 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.002699267965022333, center loss: 0.2115348243387416, pair loss: 0
2024-12-01 17:38:20.759 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 8/1000 17:38:20 bits: 64 dataset: cifar10 loss way: Ours training...
2024-12-01 17:38:46.167 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.0019127387535770105, center loss: 0.14944171148817986, pair loss: 0
2024-12-01 17:38:46.167 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 9/1000 17:38:46 bits: 64 dataset: cifar10 loss way: Ours training...
2024-12-01 17:39:11.502 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.0016793464295731127, center loss: 0.13105247961357236, pair loss: 0
2024-12-01 17:40:57.616 | INFO     | scripts.train_CUB:train_val:97 - save in ./results/cifar10/Ours
2024-12-01 17:40:57.616 | INFO     | scripts.train_CUB:train_val:107 - [Ours] 9/1000 17:38:46 bits: 64 dataset: cifar10 Best mAP: 0.8143159450657441, current mAP: 0.8143159450657441
